Negative
abandon
abus
ach
afraid
agoni
alarm
alone
ang
anger
angri
angst
anguish
apathi
argu
asham
attack
avoid
bad
battl
beaten
bitter
blame
bore
bother
broke
broken
brutal
burden
careless
cheat
complain
confront
confus
crazi
cri
critic
cruel
cut
damag
damn
damnat
danger
daze
decay
defeat
defens
depress
despair
despis
destroy
destruct
devast
devil
disagre
disappoint
disast
disgust
distract
distress
disturb
domin
doom
doubt
dread
dull
dumb
dwell
empti
enemi
envi
evil
fail
failur
fake
fatal
fault
fear
fight
fighter
foe
fool
foolish
forbidden
fought
freak
fright
frighten
frustrat
furi
gloom
goddamn
grave
greed
grief
griev
guilt
guilti
harm
hate
hater
hatr
heartbreak
hell
helpless
hesit
hopeless
horror
hurt
hurtin
idiot
ignor
insecur
jade
jealous
jealousi
jerk
kill
killer
killin
lame
lazi
liar
lone
loneli
lonesom
lose
loser
losin
loss
lost 
low
lower
lyin
mad
mad
mess
messin
miser
miss
missin
mistak
mistaken
mock
mood
mourn
murder
nasti
nerv
nervous
numb
obsess
overwhelm
pain
panic
paranoia
pathet
piss
piti
poison
pressur
problem
punish
rag
rage
rape
rebel
regret
reject
remors
restless
reveng
risk
rotten
rude
ruin
sad
savag
scar
scare
scari
scream
screamin
screw
selfish
serious
sever
shake
shakin
shame
shi
shock
shook
sicken
sin
sorri
sorrow
spite
steal
stench
stink
strain
strang
stranger
stress
struggl
stupid
suck
sucker
suffer
tear
teas
tension
terribl
terrifi
terror
thief
thiev
threat
threaten
tortur
tough
tragedi
tragic
traum
trembl
trick
troubl
ugli
unhappi
unkind
upset
useless
vain
vaniti
vicious
victim
vil
violenc
violent
vultur
war
weak
weapon
weep
weird
whine
wick
witch
woe
worri
wors
worst
worthless
wrong
yearn
