artist,artist_processed,rank,song,year,ID_index,negative,positive,n
gordon lightfoot,gordon lightfoot,38,if you could read my mind,1971,638,3,18,280
cher,cher,39,gypsys tramps  thieves,1971,639,10,3,262
the jackson 5,the jackson 5,40,never can say goodbye,1971,640,6,1,234
lynn anderson,lynn anderson,41,rose garden,1971,641,0,24,259
hamilton joe frank & reynolds,hamilton joe frank & reynolds,42,dont pull your love,1971,642,2,8,163
ringo starr,ringo starr,43,it dont come easy,1971,643,0,15,195
nitty gritty dirt band,nitty gritty dirt band,44,mr bojangles,1971,644,NA,NA,NA
the fuzz,the fuzz,45,i love you for all seasons,1971,645,0,19,177
the dramatics,the dramatics,46,whatcha see is whatcha get,1971,646,1,3,106
carly simon,carly simon,47,thats the way ive always heard it should be,1971,647,4,15,248
stevie wonder,stevie wonder,48,if you really love me,1971,648,2,19,216
aretha franklin,aretha franklin,49,spanish harlem,1971,649,2,2,168
helen reddy,helen reddy,50,i dont know how to love him,1971,650,6,9,169
the osmonds,the osmonds,51,yoyo,1971,651,2,39,326
aretha franklin,aretha franklin,52,bridge over troubled water,1971,652,12,11,311
the partridge family,the partridge family,53,doesnt somebody want to be wanted,1971,653,1,17,215
tommy james,tommy james,54,draggin the line,1971,654,0,15,135
ike & tina turner,ike,55,proud mary,1971,655,3,6,146
ike & tina turner,tina turner,55,proud mary,1971,655,3,6,146
chicago,chicago,56,beginningscolour my world,1971,656,NA,NA,NA
the bells,the bells,57,stay awhile,1971,657,0,8,151
the stampeders,the stampeders,58,sweet city woman,1971,658,0,7,111
lobo,lobo,59,me and you and a dog named boo,1971,659,0,7,209
paul mccartney,paul mccartney,60,another dayoh woman oh why,1971,660,NA,NA,NA
bread,bread,61,if,1971,661,0,1,121
marvin gaye,marvin gaye,62,mercy mercy me the ecology,1971,662,2,0,110
brewer & shipley,brewer & shipley,63,one toke over the line,1971,663,1,22,313
8th day,8th day,64,shes not just another woman,1971,664,NA,NA,NA
freda payne,freda payne,65,bring the boys home,1971,665,5,2,432
rare earth,rare earth,66,i just want to celebrate,1971,666,4,2,286
delaney & bonnie  friends,delaney & bonnie  friends,67,never ending song of love,1971,667,0,14,226
freddie hart,freddie hart,68,easy loving,1971,668,0,10,81
three dog night,three dog night,69,liar,1971,669,4,0,168
the honey cone,the honey cone,70,stickup,1971,670,NA,NA,NA
mac and katie kissoon,mac,71,chirpy chirpy cheep cheep,1971,671,0,0,317
mac and katie kissoon,katie kissoon,71,chirpy chirpy cheep cheep,1971,671,0,0,317
andy williams,andy williams,72,where do i begin love story,1971,672,3,12,200
cat stevens,cat stevens,73,wild world,1971,673,6,24,273
jerry reed,jerry reed,74,when youre hot youre hot,1971,674,2,17,373
the beginning of the end,the beginning of the end,75,funky nassau,1971,675,0,3,93
olivia newtonjohn,olivia newtonjohn,76,if not for you,1971,676,3,3,147
king floyd,king floyd,77,groove me,1971,677,0,17,280
bobby goldsboro,bobby goldsboro,78,watching scotty grow,1971,678,3,7,190
matthews southern comfort,matthews southern comfort,79,woodstock,1971,679,1,4,202
judy collins,judy collins,80,amazing grace,1971,680,4,15,87
dave edmunds,dave edmunds,81,i hear you knocking,1971,681,0,4,128
bee gees,bee gees,82,lonely days,1971,682,13,4,129
the fortunes,the fortunes,83,here comes that rainy day feeling again,1971,683,4,6,183
the who,the who,84,wont get fooled again,1971,684,7,15,296
denise lasalle,denise lasalle,85,trapped by a thing called love,1971,685,5,5,160
the jackson 5,the jackson 5,86,mamas pearl,1971,686,10,23,324
the buoys,the buoys,87,timothy,1971,687,2,1,142
the partridge family,the partridge family,88,i woke up in love this morning,1971,688,0,15,232
isaac hayes,isaac hayes,89,theme from shaft,1971,689,4,0,77
gladys knight & the pips,gladys knight,90,if i were your woman,1971,690,5,12,295
gladys knight & the pips,the pips,90,if i were your woman,1971,690,5,12,295
neil diamond,neil diamond,91,i ami said,1971,691,NA,NA,NA
paul stookey,paul stookey,92,the wedding song there is love,1971,692,0,15,212
wilson pickett,wilson pickett,93,dont knock my love,1971,693,NA,NA,NA
the doors,the doors,94,love her madly,1971,694,13,22,157
richie havens,richie havens,95,here comes the sun,1971,695,1,15,191
wadsworth mansion,wadsworth mansion,96,sweet mary,1971,696,0,14,228
brenda & the tabulations,brenda & the tabulations,97,right on the tip of my tongue,1971,697,NA,NA,NA
the 5th dimension,the 5th dimension,98,one less bell to answer,1971,698,6,8,224
the doors,the doors,99,riders on the storm,1971,699,2,8,128
perry como,perry como,100,somos novios its impossible,1971,700,8,2,97
roberta flack,roberta flack,1,the first time ever i saw your face,1972,701,1,6,133
gilbert osullivan,gilbert osullivan,2,alone again naturally,1972,702,9,9,264
don mclean,don mclean,3,american pie,1972,703,16,22,751
harry nilsson,harry nilsson,4,without you,1972,704,3,2,135
sammy davis jr,sammy davis jr,5,the candy man,1972,705,NA,NA,NA
joe tex,joe tex,6,i gotcha,1972,706,0,22,239
bill withers,bill withers,7,lean on me,1972,707,4,12,255
mac davis,mac davis,8,baby dont get hooked on me,1972,708,NA,NA,NA
melanie,melanie,9,brand new key,1972,709,2,4,263
wayne newton,wayne newton,10,daddy dont you walk so fast,1972,710,4,3,217
al green,al green,11,lets stay together,1972,711,3,8,126
looking glass,looking glass,12,brandy youre a fine girl,1972,712,2,24,270
the chilites,the chilites,13,oh girl,1972,713,7,10,193
gallery,gallery,14,nice to be with you,1972,714,2,19,250
chuck berry,chuck berry,15,my dingaling,1972,715,NA,NA,NA
luther ingram,luther ingram,16,if loving you is wrong i dont want to be right,1972,716,16,17,276
neil young,neil young,17,heart of gold,1972,717,0,1,126
the stylistics,the stylistics,18,betcha by golly wow,1972,718,0,15,157
the staple singers,the staple singers,19,ill take you there,1972,719,4,5,215
michael jackson,michael jackson,20,ben,1972,720,0,11,146
robert john,robert john,21,the lion sleeps tonight,1972,721,2,1,66
billy preston,billy preston,22,outaspace,1972,722,NA,NA,NA
war,war,23,slippin into darkness,1972,723,0,1,70
the hollies,the hollies,24,long cool woman in a black dress,1972,724,7,15,227
mouth & macneal,mouth & macneal,25,how do you do,1972,725,2,13,286
neil diamond,neil diamond,26,song sung blue,1972,726,4,4,142
america,america,27,a horse with no name,1972,727,4,6,287
hot butter,hot butter,28,popcorn,1972,728,NA,NA,NA
the main ingredient,the main ingredient,29,everybody plays the fool,1972,729,17,21,221
climax,climax,30,precious and few,1972,730,0,17,180
the 5th dimension,the 5th dimension,31,last night i didnt get to sleep at all,1972,731,4,2,243
the moody blues,the moody blues,32,nights in white satin,1972,732,2,18,161
raspberries,raspberries,33,go all the way,1972,733,2,7,120
cornelius brothers & sister rose,cornelius brothers & sister rose,34,too late to turn back now,1972,734,1,17,336
the ojays,the ojays,35,back stabbers,1972,735,1,8,195
the osmonds,the osmonds,36,down by the lazy river,1972,736,12,10,233
jonathan edwards,jonathan edwards,37,sunshine,1972,737,4,6,148
mel and tim,mel and tim,38,starting all over again,1972,738,8,4,198
badfinger,badfinger,39,day after day,1972,739,8,4,117
elton john,elton john,40,rocket man,1972,740,4,1,299
michael jackson,michael jackson,41,rockin robin,1972,741,0,8,204
daniel boone,daniel boone,42,beautiful sunday,1972,742,0,17,176
dennis coffey,dennis coffey,43,scorpio,1972,743,NA,NA,NA
cat stevens,cat stevens,44,morning has broken,1972,744,2,17,106
arlo guthrie,arlo guthrie,45,city of new orleans,1972,745,2,3,289
ricky nelson,ricky nelson,46,garden party,1972,746,0,17,191
johnny nash,johnny nash,47,i can see clearly now,1972,747,2,12,117
elvis presley,elvis presley,48,burning love,1972,748,0,19,195
betty wright,betty wright,49,clean up woman,1972,749,4,15,212
argent,argent,50,hold your head up,1972,750,3,0,80
the chakachas,the chakachas,51,jungle fever,1972,751,NA,NA,NA
bread,bread,52,everything i own,1972,752,2,6,191
the dramatics,the dramatics,53,in the rain,1972,753,19,1,232
al green,al green,54,look what you done for me,1972,754,1,14,227
donna fargo,donna fargo,55,the happiest girl in the whole usa,1972,755,0,16,223
t rex,t rex,56,get it on,1972,756,1,19,242
paul simon,paul simon,57,mother and child reunion,1972,757,8,3,198
roberta flack & donny hathaway,roberta flack,58,where is the love,1972,758,0,33,234
roberta flack & donny hathaway,donny hathaway,58,where is the love,1972,758,0,33,234
al green,al green,59,im still in love with you,1972,759,1,23,189
derek and the dominos,derek and the dominos,60,layla,1972,760,5,11,92
aretha franklin,aretha franklin,61,day dreaming,1972,761,2,19,255
cher,cher,62,the way of love,1972,762,4,14,145
three dog night,three dog night,63,black and white,1972,763,0,3,107
dr hook & the medicine show,dr hook,64,sylvias mother,1972,764,NA,NA,NA
dr hook & the medicine show,the medicine show,64,sylvias mother,1972,764,NA,NA,NA
the carpenters,the carpenters,65,hurting each other,1972,765,16,12,185
harry nilsson,harry nilsson,66,coconut,1972,766,6,15,502
donny osmond,donny osmond,67,puppy love,1972,767,4,7,97
jim croce,jim croce,68,you dont mess around with jim,1972,768,12,4,317
commander cody and his lost planet airmen,commander cody,69,hot rod lincoln,1972,769,6,9,413
commander cody and his lost planet airmen,his lost planet airmen,69,hot rod lincoln,1972,769,6,9,413
sonny & cher,sonny,70,a cowboys work is never done,1972,770,NA,NA,NA
sonny & cher,cher,70,a cowboys work is never done,1972,770,NA,NA,NA
apollo 100,apollo 100,71,joy,1972,771,NA,NA,NA
carly simon,carly simon,72,anticipation,1972,772,0,1,82
three dog night,three dog night,73,never been to spain,1972,773,4,12,163
charley pride,charley pride,74,kiss an angel good mornin,1972,774,1,14,131
alice cooper,alice cooper,75,schools out,1972,775,0,4,127
chicago,chicago,76,saturday in the park,1972,776,2,4,192
joe simon,joe simon,77,drowning in the sea of love,1972,777,6,20,221
bill withers,bill withers,78,use me,1972,778,3,8,232
sly & the family stone,sly & the family stone,79,family affair,1972,779,3,5,185
jimmy castor bunch,jimmy castor bunch,80,troglodyte cave man,1972,780,1,4,280
redbone,redbone,81,the witch queen of new orleans,1972,781,4,1,206
curtis mayfield,curtis mayfield,82,freddies dead,1972,782,3,21,175
joe simon,joe simon,83,power of love,1972,783,2,24,279
jerry butler & brenda lee eager,jerry butler,84,aint understanding mellow,1972,784,NA,NA,NA
jerry butler & brenda lee eager,brenda lee eager,84,aint understanding mellow,1972,784,NA,NA,NA
harry chapin,harry chapin,85,taxi,1972,785,9,8,406
beverly bremers,beverly bremers,86,dont say you dont remember,1972,786,0,5,127
bobby vinton,bobby vinton,87,sealed with a kiss,1972,787,3,6,103
todd rundgren,todd rundgren,88,i saw the light,1972,788,1,4,174
sailcat,sailcat,89,motorcycle mama,1972,789,0,17,189
original cast of godspell,original cast of godspell,90,day by day,1972,790,NA,NA,NA
yes,yes,91,roundabout,1972,791,2,22,402
jackson browne,jackson browne,92,doctor my eyes,1972,792,6,2,127
the new seekers,the new seekers,93,id like to teach the world to sing in perfect harmony,1972,793,NA,NA,NA
don mclean,don mclean,94,vincent,1972,794,9,11,266
the detroit emeralds,the detroit emeralds,95,baby let me take you in my arms,1972,795,0,32,319
rick springfield,rick springfield,96,speak to the sky,1972,796,2,5,222
the hillside singers,the hillside singers,97,id like to teach the world to sing in perfect harmony,1972,797,NA,NA,NA
love unlimited,love unlimited,98,walkin in the rain with the one i love,1972,798,0,30,292
james brown,james brown,99,get on the good foot,1972,799,1,29,299
the isley brothers,the isley brothers,100,pop that thang,1972,800,0,1,180
tony orlando and dawn,tony orlando,1,tie a yellow ribbon round the ole oak tree,1973,801,3,5,273
tony orlando and dawn,dawn,1,tie a yellow ribbon round the ole oak tree,1973,801,3,5,273
jim croce,jim croce,2,bad bad leroy brown,1973,802,20,7,253
roberta flack,roberta flack,3,killing me softly with his song,1973,803,18,1,236
marvin gaye,marvin gaye,4,lets get it on,1973,804,6,13,237
paul mccartney & wings,paul mccartney,5,my love,1973,805,0,31,173
paul mccartney & wings,wings,5,my love,1973,805,0,31,173
kris kristofferson,kris kristofferson,6,why me,1973,806,0,3,136
elton john,elton john,7,crocodile rock,1973,807,5,6,303
billy preston,billy preston,8,will it go round in circles,1973,808,2,17,327
carly simon,carly simon,9,youre so vain,1973,809,9,9,272
diana ross,diana ross,10,touch me in the morning,1973,810,1,12,308
vicki lawrence,vicki lawrence,11,the night the lights went out in georgia,1973,811,9,10,433
clint holmes,clint holmes,12,playground in my mind,1973,812,0,9,192
stories,stories,13,brother louie,1973,813,6,3,99
helen reddy,helen reddy,14,delta dawn,1973,814,2,1,96
billy paul,billy paul,15,me and mrs jones,1973,815,6,10,164
edgar winter group,edgar winter group,16,frankenstein,1973,816,NA,NA,NA
dobie gray,dobie gray,17,drift away,1973,817,12,10,287
sweet,sweet,18,little willy,1973,818,0,7,256
stevie wonder,stevie wonder,19,you are the sunshine of my life,1973,819,2,9,154
cher,cher,20,halfbreed,1973,820,4,4,122
the isley brothers,the isley brothers,21,that lady,1973,821,0,5,93
sylvia,sylvia,22,pillow talk,1973,822,3,10,208
grand funk railroad,grand funk railroad,23,were an american band,1973,823,1,14,233
dr john,dr john,24,right place wrong time,1973,824,15,4,196
skylark,skylark,25,wildflower,1973,825,6,4,159
stevie wonder,stevie wonder,26,superstition,1973,826,10,6,130
paul simon,paul simon,27,loves me like a rock,1973,827,5,41,235
maureen mcgovern,maureen mcgovern,28,the morning after,1973,828,0,5,177
john denver,john denver,29,rocky mountain high,1973,829,6,5,325
stealers wheel,stealers wheel,30,stuck in the middle with you,1973,830,3,9,290
three dog night,three dog night,31,shambala,1973,831,4,3,95
the ojays,the ojays,32,love train,1973,832,5,23,274
barry white,barry white,33,im gonna love you just a little more baby,1973,833,2,30,274
tony orlando and dawn,tony orlando,34,say has anybody seen my sweet gypsy rose,1973,834,2,15,264
tony orlando and dawn,dawn,34,say has anybody seen my sweet gypsy rose,1973,834,2,15,264
eddie kendricks,eddie kendricks,35,keep on truckin,1973,835,NA,NA,NA
king harvest,king harvest,36,dancing in the moonlight,1973,836,1,16,156
anne murray,anne murray,37,dannys song,1973,837,3,15,167
bobby boris pickett and the cryptkickers,bobby boris pickett and the cryptkickers,38,monster mash,1973,838,2,9,340
bloodstone,bloodstone,39,natural high,1973,839,0,16,305
seals and crofts,seals and crofts,40,diamond girl,1973,840,0,13,160
the doobie brothers,the doobie brothers,41,long train runnin,1973,841,2,9,183
george harrison,george harrison,42,give me love give me peace on earth,1973,842,NA,NA,NA
sly & the family stone,sly & the family stone,43,if you want me to stay,1973,843,1,9,191
jermaine jackson,jermaine jackson,44,daddys home,1973,844,1,9,150
gladys knight & the pips,gladys knight,45,neither one of us wants to be the first to say goodbye,1973,845,5,3,212
gladys knight & the pips,the pips,45,neither one of us wants to be the first to say goodbye,1973,845,5,3,212
new york city,new york city,46,im doin fine now,1973,846,1,12,193
the spinners,the spinners,47,could it be im falling in love,1973,847,2,22,277
elton john,elton john,48,daniel,1973,848,6,4,141
gladys knight & the pips,gladys knight,49,midnight train to georgia,1973,849,0,14,559
gladys knight & the pips,the pips,49,midnight train to georgia,1973,849,0,14,559
deep purple,deep purple,50,smoke on the water,1973,850,2,1,112
dr hook & the medicine show,dr hook,51,the cover of the rolling stone,1973,851,0,22,353
dr hook & the medicine show,the medicine show,51,the cover of the rolling stone,1973,851,0,22,353
charlie rich,charlie rich,52,behind closed doors,1973,852,0,9,165
loggins and messina,loggins and messina,53,your mama dont dance,1973,853,NA,NA,NA
chicago,chicago,54,feelin stronger every day,1973,854,1,10,143
war,war,55,the cisco kid,1973,855,0,15,190
paul mccartney & wings,paul mccartney,56,live and let die,1973,856,3,1,139
paul mccartney & wings,wings,56,live and let die,1973,856,3,1,139
hurricane smith,hurricane smith,57,oh babe what would you say,1973,857,0,8,172
johnnie taylor,johnnie taylor,58,i believe in you you believe in me,1973,858,12,14,403
the carpenters,the carpenters,59,sing,1973,859,3,5,79
the four tops,the four tops,60,aint no woman like the one ive got,1973,860,2,38,301
eric weissberg & steve mandell,eric weissberg & steve mandell,61,dueling banjos,1973,861,NA,NA,NA
stevie wonder,stevie wonder,62,higher ground,1973,862,3,5,165
al green,al green,63,here i am come and take me,1973,863,8,8,297
bw stevenson,bw stevenson,64,my maria,1973,864,3,8,108
curtis mayfield,curtis mayfield,65,superfly,1973,865,9,6,273
gilbert osullivan,gilbert osullivan,66,get down,1973,866,5,7,216
edward bear,edward bear,67,last song,1973,867,0,5,253
steely dan,steely dan,68,reelin in the years,1973,868,7,3,228
focus,focus,69,hocus pocus,1973,869,0,0,25
the carpenters,the carpenters,70,yesterday once more,1973,870,4,13,178
bette midler,bette midler,71,boogie woogie bugle boy,1973,871,0,11,293
gilbert osullivan,gilbert osullivan,72,clair,1973,872,3,3,215
steely dan,steely dan,73,do it again,1973,873,1,3,197
paul simon,paul simon,74,kodachrome,1973,874,3,9,195
timmy thomas,timmy thomas,75,why cant we live together,1973,875,5,2,151
tower of power,tower of power,76,so very hard to go,1973,876,6,12,241
bette midler,bette midler,77,do you wanna dance,1973,877,0,5,108
johnny rivers,johnny rivers,78,rockin pneumonia and the boogie woogie flu,1973,878,3,1,129
the allman brothers band,the allman brothers band,79,ramblin man,1973,879,1,8,181
the temptations,the temptations,80,masterpiece,1973,880,3,6,121
helen reddy,helen reddy,81,peaceful,1973,881,3,10,161
the spinners,the spinners,82,one of a kind love affair,1973,882,8,37,334
donna fargo,donna fargo,83,funny face,1973,883,2,26,179
ohio players,ohio players,84,funky worm,1973,884,2,10,194
the rolling stones,the rolling stones,85,angie,1973,885,5,6,147
blue ridge rangers,blue ridge rangers,86,jambalaya on the bayou,1973,886,0,13,208
lobo,lobo,87,dont expect me to be your friend,1973,887,0,18,224
the stylistics,the stylistics,88,break up to make up,1973,888,16,11,218
jud strunk,jud strunk,89,daisy a day,1973,889,1,10,270
deodato,deodato,90,also sprach zarathustra 2001,1973,890,0,1,33
johnny nash,johnny nash,91,stir it up,1973,891,0,3,195
pink floyd,pink floyd,92,money,1973,892,1,6,119
war,war,93,gypsy man,1973,893,0,4,85
war,war,94,the world is a ghetto,1973,894,1,10,137
the pointer sisters,the pointer sisters,95,yes we can can,1973,895,1,30,874
edgar winter group,edgar winter group,96,free ride,1973,896,2,10,111
david bowie,david bowie,97,space oddity,1973,897,1,2,214
albert hammond,albert hammond,98,it never rains in southern california,1973,898,0,8,162
donny osmond,donny osmond,99,the twelfth of never,1973,899,1,8,105
the temptations,the temptations,100,papa was a rollin stone,1973,900,6,10,399
barbra streisand,barbra streisand,1,the way we were,1974,901,1,3,123
terry jacks,terry jacks,2,seasons in the sun,1974,902,1,24,356
love unlimited orchestra,love unlimited orchestra,3,loves theme,1974,903,NA,NA,NA
redbone,redbone,4,come and get your love,1974,904,1,33,279
the jackson 5,the jackson 5,5,dancing machine,1974,905,3,6,235
grand funk railroad,grand funk railroad,6,the locomotion,1974,906,1,9,224
mfsb,mfsb,7,tsop the sound of philadelphia,1974,907,0,0,39
ray stevens,ray stevens,8,the streak,1974,908,3,3,222
elton john,elton john,9,bennie and the jets,1974,909,5,1,143
mac davis,mac davis,10,one hell of a woman,1974,910,9,23,182
aretha franklin,aretha franklin,11,until you come back to me thats what im gonna do,1974,911,NA,NA,NA
kool & the gang,kool,12,jungle boogie,1974,912,1,0,201
kool & the gang,the gang,12,jungle boogie,1974,912,1,0,201
maria muldaur,maria muldaur,13,midnight at the oasis,1974,913,2,5,166
the stylistics,the stylistics,14,you make me feel brand new,1974,914,1,18,178
al wilson,al wilson,15,show and tell,1974,915,0,11,258
jim stafford,jim stafford,16,spiders and snakes,1974,916,7,22,272
david essex,david essex,17,rock on,1974,917,2,0,125
john denver,john denver,18,sunshine on my shoulders,1974,918,2,15,129
blue magic,blue magic,19,sideshow,1974,919,12,6,258
blue swede,blue swede,20,hooked on a feeling,1974,920,1,10,174
bo donaldson and the heywoods,bo donaldson and the heywoods,21,billy dont be a hero,1974,921,NA,NA,NA
paul mccartney and wings,paul mccartney,22,band on the run,1974,922,0,3,239
paul mccartney and wings,wings,22,band on the run,1974,922,0,3,239
charlie rich,charlie rich,23,the most beautiful girl,1974,923,10,8,195
jim croce,jim croce,24,time in a bottle,1974,924,1,8,123
john denver,john denver,25,annies song,1974,925,0,16,137
olivia newtonjohn,olivia newtonjohn,26,let me be there,1974,926,3,5,200
gordon lightfoot,gordon lightfoot,27,sundown,1974,927,12,18,212
paul anka,paul anka,28,youre having my baby,1974,928,0,21,213
andy kim,andy kim,29,rock me gently,1974,929,1,40,251
eddie kendricks,eddie kendricks,30,boogie down,1974,930,5,22,205
ringo starr,ringo starr,31,youre sixteen,1974,931,0,14,161
olivia newtonjohn,olivia newtonjohn,32,if you love me let me know,1974,932,0,17,204
cher,cher,33,dark lady,1974,933,2,11,321
gladys knight & the pips,gladys knight,34,best thing that ever happened to me,1974,934,3,12,177
gladys knight & the pips,the pips,34,best thing that ever happened to me,1974,934,3,12,177
roberta flack,roberta flack,35,feel like makin love,1974,935,1,19,157
the main ingredient,the main ingredient,36,just dont want to be lonely,1974,936,5,5,107
billy preston,billy preston,37,nothing from nothing,1974,937,2,2,117
george mccrae,george mccrae,38,rock your baby,1974,938,0,3,120
the carpenters,the carpenters,39,top of the world,1974,939,0,11,244
steve miller band,steve miller band,40,the joker,1974,940,11,14,192
gladys knight & the pips,gladys knight,41,ive got to use my imagination,1974,941,NA,NA,NA
gladys knight & the pips,the pips,41,ive got to use my imagination,1974,941,NA,NA,NA
three dog night,three dog night,42,the show must go on,1974,942,5,1,183
the hues corporation,the hues corporation,43,rock the boat,1974,943,0,23,256
brownsville station,brownsville station,44,smokin in the boys room,1974,944,1,5,284
stevie wonder,stevie wonder,45,living for the city,1974,945,2,10,251
paper lace,paper lace,46,the night chicago died,1974,946,14,4,301
dionne warwick & the spinners,dionne warwick,47,then came you,1974,947,NA,NA,NA
dionne warwick & the spinners,the spinners,47,then came you,1974,947,NA,NA,NA
marvin hamlisch,marvin hamlisch,48,the entertainer,1974,948,NA,NA,NA
abba,abba,49,waterloo,1974,949,7,11,178
the hollies,the hollies,50,the air that i breathe,1974,950,2,11,193
steely dan,steely dan,51,rikki dont lose that number,1974,951,7,8,208
carly simon & james taylor,carly simon,52,mockingbird,1974,952,0,5,243
carly simon & james taylor,james taylor,52,mockingbird,1974,952,0,5,243
joni mitchell,joni mitchell,53,help me,1974,953,4,23,160
anne murray,anne murray,54,you wont see me,1974,954,6,2,188
barry white,barry white,55,never never gonna give you up,1974,955,0,10,413
rufus & chaka khan,rufus,56,tell me something good,1974,956,1,26,248
rufus & chaka khan,chaka khan,56,tell me something good,1974,956,1,26,248
helen reddy,helen reddy,57,you and me against the world,1974,957,2,4,134
the righteous brothers,the righteous brothers,58,rock and roll heaven,1974,958,6,10,211
kool & the gang,kool,59,hollywood swinging,1974,959,1,2,118
kool & the gang,the gang,59,hollywood swinging,1974,959,1,2,118
william devaughn,william devaughn,60,be thankful for what you got,1974,960,0,5,230
johnny bristol,johnny bristol,61,hang on in there baby,1974,961,NA,NA,NA
mocedades,mocedades,62,eres tu,1974,962,0,32,306
bachmanturner overdrive,bachmanturner overdrive,63,takin care of business,1974,963,NA,NA,NA
golden earring,golden earring,64,radar love,1974,964,3,16,223
dave loggins,dave loggins,65,please come to boston,1974,965,2,13,305
wet willie,wet willie,66,keep on smilin,1974,966,7,4,195
bobby womack,bobby womack,67,lookin for a love,1974,967,0,14,156
the ojays,the ojays,68,put your hands together,1974,968,0,18,323
gladys knight & the pips,gladys knight,69,on and on,1974,969,3,40,476
gladys knight & the pips,the pips,69,on and on,1974,969,3,40,476
cat stevens,cat stevens,70,oh very young,1974,970,0,7,175
helen reddy,helen reddy,71,leave me alone ruby red dress,1974,971,5,12,287
elton john,elton john,72,goodbye yellow brick road,1974,972,0,3,182
chicago,chicago,73,ive been searchin so long,1974,973,2,2,116
ringo starr,ringo starr,74,oh my my,1974,974,4,1,252
the ojays,the ojays,75,for the love of money,1974,975,7,13,302
eric clapton,eric clapton,76,i shot the sheriff,1974,976,5,2,224
paul mccartney and wings,paul mccartney,77,jet,1974,977,1,7,154
paul mccartney and wings,wings,77,jet,1974,977,1,7,154
elton john,elton john,78,dont let the sun go down on me,1974,978,3,9,168
mike oldfield,mike oldfield,79,tubular bells,1974,979,0,1,20
anne murray,anne murray,80,a love song,1974,980,0,12,194
donny and marie osmond,donny,81,im leaving it up to you,1974,981,NA,NA,NA
donny and marie osmond,marie osmond,81,im leaving it up to you,1974,981,NA,NA,NA
todd rundgren,todd rundgren,82,hello its me,1974,982,1,7,194
tom t hall,tom t hall,83,i love,1974,983,2,15,87
the guess who featuring wolfman jack,the guess who,84,clap for the wolfman,1974,984,0,4,243
the guess who featuring wolfman jack,wolfman jack,84,clap for the wolfman,1974,984,0,4,243
jim croce,jim croce,85,ill have to say i love you in a song,1974,985,5,10,160
sister janet mead,sister janet mead,86,the lords prayer,1974,986,1,7,72
lamont dozier,lamont dozier,87,trying to hold on to my woman,1974,987,6,17,296
stevie wonder,stevie wonder,88,dont you worry bout a thing,1974,988,28,2,276
charlie rich,charlie rich,89,a very special love song,1974,989,2,13,151
jim stafford,jim stafford,90,my girl bill,1974,990,3,9,172
paul mccartney and wings,paul mccartney,91,helen wheels,1974,991,8,6,213
paul mccartney and wings,wings,91,helen wheels,1974,991,8,6,213
diana ross & marvin gaye,diana ross,92,my mistake was to love you,1974,992,14,20,211
diana ross & marvin gaye,marvin gaye,92,my mistake was to love you,1974,992,14,20,211
jim stafford,jim stafford,93,wildwood weed,1974,993,4,3,297
the first class,the first class,94,beach baby,1974,994,2,7,318
war,war,95,me and baby brother,1974,995,2,4,172
the stylistics,the stylistics,96,rockin roll baby,1974,996,0,5,127
olivia newtonjohn,olivia newtonjohn,97,i honestly love you,1974,997,0,18,171
chicago,chicago,98,call on me,1974,998,1,11,182
fancy,fancy,99,wild thing,1974,999,2,4,98
the spinners,the spinners,100,mighty love,1974,1000,3,59,471
captain & tennille,captain & tennille,1,love will keep us together,1975,1001,1,17,230
glen campbell,glen campbell,2,rhinestone cowboy,1975,1002,1,4,206
elton john,elton john,3,philadelphia freedom,1975,1003,0,24,318
freddy fender,freddy fender,4,before the next teardrop falls,1975,1004,1,4,115
frankie valli,frankie valli,5,my eyes adored you,1975,1005,3,18,228
earth wind & fire,earth wind & fire,6,shining star,1975,1006,2,17,247
david bowie,david bowie,7,fame,1975,1007,3,2,141
neil sedaka,neil sedaka,8,laughter in the rain,1975,1008,0,18,192
eagles,eagles,9,one of these nights,1975,1009,11,3,298
john denver,john denver,10,thank god im a country boy,1975,1010,5,35,412
bee gees,bee gees,11,jive talkin,1975,1011,2,12,215
eagles,eagles,12,best of my love,1975,1012,3,63,333
minnie riperton,minnie riperton,13,lovin you,1975,1013,0,10,122
carl douglas,carl douglas,14,kung fu fighting,1975,1014,8,1,162
the doobie brothers,the doobie brothers,15,black water,1975,1015,2,23,408
sweet,sweet,16,the ballroom blitz,1975,1016,8,6,303
bj thomas,bj thomas,17,hey wont you play another somebody done somebody wrong song,1975,1017,29,12,199
tony orlando and dawn,tony orlando,18,he dont love you like i love you,1975,1018,NA,NA,NA
tony orlando and dawn,dawn,18,he dont love you like i love you,1975,1018,NA,NA,NA
janis ian,janis ian,19,at seventeen,1975,1019,7,17,226
average white band,average white band,20,pick up the pieces,1975,1020,0,0,30
van mccoy & the soul city symphony,van mccoy,21,the hustle,1975,1021,NA,NA,NA
van mccoy & the soul city symphony,the soul city symphony,21,the hustle,1975,1021,NA,NA,NA
labelle,labelle,22,lady marmalade,1975,1022,2,0,215
war,war,23,why cant we be friends,1975,1023,0,38,331
major harris,major harris,24,love wont let me wait,1975,1024,2,13,178
stevie wonder,stevie wonder,25,boogie on reggae woman,1975,1025,3,13,163
freddy fender,freddy fender,26,wasted days and wasted nights,1975,1026,5,8,151
the isley brothers,the isley brothers,27,fight the power,1975,1027,9,12,212
helen reddy,helen reddy,28,angie baby,1975,1028,4,16,252
